Angle,Upper,Down
-193,172.7,172.7
-192,171.7,173.7
-191,171.7,174.7
-190,170.7,175.7
-189,170.7,176.7
-188,169.7,177.7
-187,169.7,178.7
-186,168.7,179.7
-185,167.7,180.7
-184,167.7,181.7
-183,166.7,182.7
-182,166.7,183.7
-181,165.7,184.7
-180,165.7,185.7
-179,164.7,186.7
-178,164.7,187.7
-177,163.7,188.7
-176,163.7,189.7
-175,162.7,189.7
-174,162.7,190.7
-173,161.7,191.7
-172,161.7,192.7
-171,160.7,193.7
-170,160.7,194.7
-169,159.7,195.7
-168,159.7,196.7
-167,158.7,197.7
-166,158.7,198.7
-165,157.7,199.7
-164,157.7,200.7
-163,156.7,201.7
-162,156.7,202.7
-161,155.7,203.7
-160,155.7,204.7
-159,154.7,205.7
-158,154.7,206.7
-157,153.7,207.7
-156,153.7,208.7
-155,152.7,209.7
-154,152.7,209.7
-153,151.7,210.7
-152,151.7,211.7
-151,150.7,212.7
-150,150.7,213.7
-149,149.7,214.7
-148,149.7,215.7
-147,148.7,216.7
-146,148.7,217.7
-145,147.7,218.7
-144,147.7,219.7
-143,146.7,220.7
-142,146.7,221.7
-141,145.7,221.7
-140,145.7,222.7
-139,144.7,223.7
-138,144.7,224.7
-137,144.7,225.7
-136,143.7,226.7
-135,143.7,227.7
-134,142.7,228.7
-133,142.7,229.7
-132,141.7,230.7
-131,141.7,231.7
-130,140.7,231.7
-129,140.7,232.7
-128,139.7,233.7
-127,139.7,234.7
-126,139.7,235.7
-125,138.7,236.7
-124,138.7,237.7
-123,137.7,238.7
-122,137.7,239.7
-121,136.7,239.7
-120,136.7,240.7
-119,135.7,241.7
-118,135.7,242.7
-117,135.7,243.7
-116,134.7,244.7
-115,134.7,245.7
-114,133.7,245.7
-113,133.7,246.7
-112,132.7,247.7
-111,132.7,248.7
-110,132.7,249.7
-109,131.7,250.7
-108,131.7,251.7
-107,130.7,251.7
-106,130.7,252.7
-105,130.7,253.7
-104,129.7,254.7
-103,129.7,255.7
-102,128.7,256.7
-101,128.7,257.7
-100,128.7,257.7
-99,127.7,258.7
-98,127.7,259.7
-97,126.7,260.7
-96,126.7,261.7
-95,126.7,262.7
-94,125.7,263.7
-93,125.7,263.7
-92,124.7,264.7
-91,124.7,265.7
-90,124.7,266.7
-89,123.7,267.7
-88,123.7,267.7
-87,122.7,268.7
-86,122.7,269.7
-85,122.7,270.7
-84,121.7,271.7
-83,121.7,272.7
-82,121.7,273.7
-81,120.7,273.7
-80,120.7,274.7
-79,119.7,275.7
-78,119.7,276.7
-77,119.7,277.7
-76,118.7,277.7
-75,118.7,278.7
-74,118.7,279.7
-73,117.7,280.7
-72,117.7,281.7
-71,117.7,281.7
-70,116.7,282.7
-69,116.7,283.7
-68,115.7,284.7
-67,115.7,285.7
-66,115.7,285.7
-65,114.7,286.7
-64,114.7,287.7
-63,114.7,287.7
-62,113.7,288.7
-61,113.7,289.7
-60,113.7,290.7
-59,112.7,291.7
-58,112.7,291.7
-57,112.7,292.7
-56,111.7,293.7
-55,111.7,294.7
-54,111.7,295.7
-53,110.7,295.7
-52,110.7,296.7
-51,110.7,297.7
-50,109.7,297.7
-49,109.7,298.7
-48,109.7,299.7
-47,108.7,300.7
-46,108.7,301.7
-45,108.7,301.7
-44,108.7,302.7
-43,107.7,303.7
-42,107.7,303.7
-41,107.7,304.7
-40,106.7,305.7
-39,106.7,306.7
-38,106.7,307.7
-37,105.7,307.7
-36,105.7,308.7
-35,105.7,309.7
-34,105.7,309.7
-33,104.7,310.7
-32,104.7,311.7
-31,104.7,312.7
-30,103.7,313.7
